year_built,sold_date,sold_price,baths_full,lot_sqft,sqft,baths,garage,stories,beds,type,tags,city,state,list_price,price_per_sqft,age_of_house
1940.0,2024-01-11,63000.0,2.0,11761.0,2184.0,2.0,3.0,1.0,4.0,single_family,"['recreation_facilities', 'single_story', 'new_roof']",Little Rock,Arkansas,77000.0,28.846153846153847,84.0
1954.0,2024-01-11,135000.0,1.0,8712.0,1119.0,1.0,,1.0,3.0,single_family,"['carport', 'single_story', 'updated_kitchen', 'private_backyard']",Little Rock,Arkansas,135000.0,120.64343163538874,70.0
2007.0,2024-01-11,150000.0,2.0,9583.0,1386.0,2.0,2.0,1.0,3.0,single_family,"['community_outdoor_space', 'corner_lot', 'fireplace', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'rental_property', 'big_lot']",Mabelvale,Arkansas,159900.0,108.22510822510823,17.0
1939.0,2024-01-11,530000.0,2.0,7841.0,2300.0,2.0,,2.0,4.0,single_family,"['corner_lot', 'fireplace', 'hardwood_floors', 'two_or_more_stories', 'garage_1_or_more']",Little Rock,Arkansas,530000.0,230.43478260869566,85.0
2000.0,2024-01-11,76000.0,,5663.0,1635.0,0.0,,,,land,['garage_1_or_more'],Little Rock,Arkansas,76000.0,46.48318042813456,24.0
1966.0,2024-01-10,159900.0,2.0,11326.0,1750.0,2.0,,1.0,3.0,single_family,"['carport', 'community_outdoor_space', 'den_or_office', 'hardwood_floors', 'laundry_room', 'single_story', 'beautiful_backyard', 'library', 'community_center']",Little Rock,Arkansas,165000.0,91.37142857142857,58.0
1981.0,2024-01-10,259900.0,2.0,11326.0,1546.0,2.0,2.0,2.0,3.0,single_family,"['community_outdoor_space', 'fireplace', 'hardwood_floors', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'fenced_yard']",Little Rock,Arkansas,259900.0,168.11125485122898,43.0
1927.0,2024-01-10,570000.0,2.0,5227.0,4596.0,3.0,,3.0,4.0,single_family,"['community_golf', 'community_park', 'community_tennis_court', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'tennis_court', 'two_or_more_stories', 'groundscare']",Little Rock,Arkansas,549900.0,124.02088772845953,97.0
1982.0,2024-01-10,417000.0,3.0,17860.0,2851.0,3.0,2.0,2.0,4.0,single_family,"['community_clubhouse', 'community_outdoor_space', 'community_park', 'community_tennis_court', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'tennis_court', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'community_swimming_pool', 'playground', 'tennis', 'trails', 'lake']",Little Rock,Arkansas,421500.0,146.26446860750613,42.0
2000.0,2024-01-10,396500.0,2.0,8712.0,2340.0,3.0,2.0,2.0,4.0,single_family,"['community_outdoor_space', 'community_park', 'community_security_features', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'spa_or_hot_tub', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'vaulted_ceiling', 'library', 'efficient', 'playground', 'shopping']",Little Rock,Arkansas,386500.0,169.44444444444446,24.0
1977.0,2024-01-10,150000.0,2.0,,2124.0,3.0,2.0,2.0,4.0,single_family,"['community_outdoor_space', 'community_park', 'community_tennis_court', 'fireplace', 'hardwood_floors', 'recreation_facilities', 'tennis_court', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'community_swimming_pool', 'private_backyard', 'clubhouse', 'playground', 'golf_course', 'tennis', 'volleyball', 'trails']",Little Rock,Arkansas,199950.0,70.62146892655367,47.0
1969.0,2024-01-10,9000.0,2.0,9148.0,2054.0,2.0,2.0,2.0,4.0,single_family,"['two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'shopping']",Little Rock,Arkansas,19900.0,4.381694255111976,55.0
1970.0,2024-01-09,255000.0,2.0,16117.0,1497.0,2.0,2.0,2.0,3.0,single_family,"['community_outdoor_space', 'fireplace', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'shopping']",Little Rock,Arkansas,259900.0,170.34068136272546,54.0
1950.0,2024-01-08,63500.0,1.0,6970.0,840.0,1.0,,1.0,2.0,single_family,"['carport', 'single_story']",Little Rock,Arkansas,63500.0,75.5952380952381,74.0
2000.0,2024-01-08,453990.0,,534481.0,1635.0,0.0,,,,land,"['city_view', 'river_view', 'view', 'water_view', 'garage_1_or_more']",Little Rock,Arkansas,490800.0,277.6697247706422,24.0
2006.0,2024-01-08,455000.0,2.0,9148.0,3084.0,2.0,2.0,1.0,3.0,single_family,"['community_outdoor_space', 'community_security_features', 'fireplace', 'hardwood_floors', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'open_kitchen', 'vaulted_ceiling', 'smart_homes', 'new_roof']",Little Rock,Arkansas,459900.0,147.53566796368352,18.0
2003.0,2024-01-08,222000.0,2.0,8276.0,1678.0,2.0,,1.0,3.0,single_family,"['community_outdoor_space', 'community_security_features', 'fireplace', 'recreation_facilities', 'spa_or_hot_tub', 'single_story', 'garage_1_or_more', 'big_yard', 'fenced_yard', 'master_bedroom']",Little Rock,Arkansas,219900.0,132.30035756853397,21.0
1922.0,2024-01-08,379000.0,2.0,6098.0,1651.0,2.0,,1.0,3.0,single_family,"['carport', 'community_outdoor_space', 'corner_lot', 'hardwood_floors', 'single_story', 'updated_kitchen', 'front_porch', 'shopping']",Little Rock,Arkansas,379000.0,229.55784373107207,102.0
1976.0,2024-01-07,190000.0,2.0,,2660.0,3.0,2.0,2.0,3.0,single_family,"['community_clubhouse', 'community_outdoor_space', 'community_park', 'community_tennis_court', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",Little Rock,Arkansas,219000.0,71.42857142857143,48.0
1970.0,2024-01-05,48500.0,1.0,6534.0,864.0,1.0,,1.0,2.0,single_family,"['carport', 'community_outdoor_space', 'single_story', 'fenced_yard']",Little Rock,Arkansas,30000.0,56.13425925925926,54.0
1961.0,2024-01-05,175000.0,2.0,9583.0,1681.0,2.0,1.0,2.0,3.0,single_family,"['community_outdoor_space', 'hardwood_floors', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'open_floor_plan', 'floor_plan', 'investment_opportunity']",Little Rock,Arkansas,175000.0,104.10469958358121,63.0
2000.0,2024-01-05,107500.0,,23522.0,1635.0,0.0,,,,land,"['community_park', 'recreation_facilities', 'swimming_pool', 'garage_1_or_more', 'corner_lot', 'big_lot']",Little Rock,Arkansas,124900.0,65.74923547400611,24.0
1969.0,2024-01-05,103000.0,1.0,10454.0,1108.0,2.0,,1.0,3.0,single_family,"['carport', 'single_story', 'new_roof']",Little Rock,Arkansas,140000.0,92.96028880866426,55.0
1992.0,2024-01-05,236500.0,2.0,8712.0,1600.0,2.0,2.0,1.0,3.0,single_family,"['community_outdoor_space', 'fireplace', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'vaulted_ceiling', 'floor_plan', 'master_suite', 'ensuite']",Little Rock,Arkansas,249900.0,147.8125,32.0
1969.0,2024-01-05,225000.0,2.0,8712.0,1700.0,2.0,,1.0,4.0,single_family,"['community_outdoor_space', 'fireplace', 'hardwood_floors', 'single_story', 'modern_kitchen', 'large_kitchen', 'big_yard']",Little Rock,Arkansas,229500.0,132.35294117647058,55.0
1981.0,2024-01-05,100000.0,1.0,,1054.0,2.0,,2.0,2.0,townhomes,"['community_outdoor_space', 'corner_lot', 'fireplace', 'hardwood_floors', 'two_or_more_stories', 'guest_parking', 'rental_property', 'shopping']",Little Rock,Arkansas,103000.0,94.87666034155598,43.0
1930.0,2024-01-05,325000.0,,8276.0,4344.0,,,2.0,,multi_family,"['hardwood_floors', 'two_or_more_stories', 'rental_property']",Little Rock,Arkansas,325000.0,74.8158379373849,94.0
1978.0,2024-01-05,258000.0,2.0,14375.0,2457.0,2.0,,1.0,4.0,single_family,"['community_outdoor_space', 'fireplace', 'single_story']",Little Rock,Arkansas,250000.0,105.006105006105,46.0
1920.0,2024-01-05,39900.0,1.0,6970.0,1428.0,1.0,,2.0,3.0,single_family,"['community_outdoor_space', 'hardwood_floors', 'recreation_facilities', 'basement', 'two_or_more_stories']",Little Rock,Arkansas,39900.0,27.941176470588236,104.0
1964.0,2024-01-05,75000.0,1.0,6534.0,999.0,2.0,,1.0,3.0,single_family,"['carport', 'hardwood_floors', 'single_story', 'fenced_yard', 'rental_property', 'new_roof', 'shopping', 'fixer_upper']",Little Rock,Arkansas,79900.0,75.07507507507508,60.0
2014.0,2024-01-05,615000.0,3.0,131987.0,3529.0,4.0,3.0,1.0,4.0,single_family,"['community_outdoor_space', 'community_security_features', 'corner_lot', 'cul_de_sac', 'energy_efficient', 'fireplace', 'hardwood_floors', 'spa_or_hot_tub', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'coffer_ceiling', 'storm_shelter', 'master_suite', 'rental_property', 'big_lot', 'smart_homes', 'shopping']",Little Rock,Arkansas,629926.0,174.2703315386795,10.0
2006.0,2024-01-05,388000.0,2.0,10019.0,2569.0,3.0,2.0,2.0,4.0,single_family,"['community_outdoor_space', 'community_park', 'community_tennis_court', 'fireplace', 'hardwood_floors', 'lake_view', 'recreation_facilities', 'tennis_court', 'view', 'water_view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'community_swimming_pool', 'basement', 'big_yard', 'new_roof', 'shopping']",Little Rock,Arkansas,388000.0,151.0315297781238,18.0
1943.0,2024-01-04,305000.0,2.0,7405.0,1384.0,2.0,,1.0,3.0,single_family,"['community_park', 'community_tennis_court', 'hardwood_floors', 'recreation_facilities', 'tennis_court', 'single_story', 'tennis']",Little Rock,Arkansas,300000.0,220.3757225433526,81.0
1966.0,2024-01-04,56000.0,1.0,8276.0,881.0,1.0,,1.0,2.0,single_family,"['carport', 'hardwood_floors', 'single_story', 'rental_property']",Little Rock,Arkansas,69900.0,63.56413166855845,58.0
1973.0,2024-01-04,75000.0,2.0,8712.0,1537.0,2.0,2.0,1.0,3.0,single_family,"['single_story', 'garage_1_or_more', 'garage_2_or_more', 'investment_opportunity']",Little Rock,Arkansas,100000.0,48.79635653871178,51.0
1989.0,2024-01-03,148000.0,1.0,9583.0,1092.0,2.0,1.0,1.0,3.0,single_family,"['community_outdoor_space', 'community_security_features', 'single_story', 'garage_1_or_more', 'fenced_yard', 'master_bathroom', 'master_bedroom']",Alexander,Arkansas,155000.0,135.53113553113553,35.0
2000.0,2024-01-03,105000.0,,87120.0,1635.0,0.0,,,,land,"['city_view', 'horse_facilities', 'view', 'garage_1_or_more', 'single_story', 'big_lot']",Little Rock,Arkansas,99000.0,64.22018348623853,24.0
